ID,Title,Visit Count,Good Count,Image URL
1465,In the family,6394,0,http://friend.com.kp/fdata/202303/021465.frd
1430,The Embassy of the Republic of Cuba in DPRK Visit to the Moranbong Secondary School No. 1,9336,0,http://friend.com.kp/fdata/202302/021430.frd
1430,The Embassy of the Republic of Cuba in DPRK Visit to the Moranbong Secondary School No. 1,9336,0,http://friend.com.kp/fdata/202302/021430-1.frd
1430,The Embassy of the Republic of Cuba in DPRK Visit to the Moranbong Secondary School No. 1,9336,0,http://friend.com.kp/fdata/202302/021430-2.frd
1430,The Embassy of the Republic of Cuba in DPRK Visit to the Moranbong Secondary School No. 1,9336,0,http://friend.com.kp/fdata/202302/021430-3.frd
1430,The Embassy of the Republic of Cuba in DPRK Visit to the Moranbong Secondary School No. 1,9336,0,http://friend.com.kp/fdata/202302/021430-4.frd
1430,The Embassy of the Republic of Cuba in DPRK Visit to the Moranbong Secondary School No. 1,9336,0,http://friend.com.kp/fdata/202302/021430-5.frd
1430,The Embassy of the Republic of Cuba in DPRK Visit to the Moranbong Secondary School No. 1,9336,0,http://friend.com.kp/fdata/202302/021430-6.frd
1430,The Embassy of the Republic of Cuba in DPRK Visit to the Moranbong Secondary School No. 1,9336,0,http://friend.com.kp/fdata/202302/021430-7.frd
1422,The Auspicious Event of Moving into New Houses in Socialist Rural Village,8713,0,http://friend.com.kp/fdata/202302/021422.frd
1422,The Auspicious Event of Moving into New Houses in Socialist Rural Village,8713,0,http://friend.com.kp/fdata/202302/021422-1.frd
1422,The Auspicious Event of Moving into New Houses in Socialist Rural Village,8713,0,http://friend.com.kp/fdata/202302/021422-2.frd
